classification,type,items,blogs,facebook,news,policies,twitter,wikipedia
Biomedical and health sciences,open,1692976,106035,272030,144037,32041,950250,39063
Biomedical and health sciences,closed,1960184,60239,219355,83876,29066,853646,23452
Life and earth sciences,open,636516,57111,91626,49610,12536,322728,23345
Life and earth sciences,closed,990532,36463,69186,28941,11050,294614,19988
Mathematics and computer science,open,281155,2408,7189,2371,569,59636,1875
Mathematics and computer science,closed,520232,1472,5849,1879,937,33240,1746
Physical sciences and engineering,open,837702,48617,64204,36810,2232,380972,14015
Physical sciences and engineering,closed,2221119,23358,51158,28742,3462,320709,9696
Social sciences and humanities,open,312905,31332,54338,28630,16624,177927,7342
Social sciences and humanities,closed,658748,35955,68309,29775,20265,276092,10744

