doc_type,type,items,blogs,facebook,news,policies,twitter,wikipedia
Article,closed,6084150,141921,368770,155954,56900,1615991,54275
Review,closed,348859,16595,48153,18061,8032,174584,12089
Article,gold,1221400,68181,154274,71358,12220,619366,20849
Review,gold,88761,6086,16589,6846,1615,57993,3683
Article,hybrid,534572,33829,67302,39731,9015,253219,11049
Review,hybrid,38325,3732,8568,3988,1515,24582,2417
Article,bronze,736721,55839,100857,63603,15011,345525,19846
Review,bronze,56515,5378,13203,5368,2205,34700,3979
Article,green,1618335,114611,197928,108957,27704,854844,32534
Review,green,100975,9232,21400,9727,3550,66327,6269

