year,type,n_items,n_blog,n_facebook,n_news,n_policy,n_twitter,n_wikipedia
2012,closed,821484,17800,31863,12738,15516,142739,12609
2013,closed,865486,19791,46214,17872,14663,179792,11620
2014,closed,885976,21087,43575,21004,12288,224535,10486
2015,closed,897205,20574,68684,24465,9521,260427,9455
2016,closed,915278,21139,69170,31604,6493,285778,8011
2017,closed,955150,25265,77728,31161,4009,306969,7220
2018,closed,1092430,32860,79689,35171,2442,390335,6963
2012,gold,111571,5504,12726,3243,2373,41150,3304
2013,gold,140894,7965,19795,6401,2791,56352,3814
2014,gold,164486,8665,17497,8432,2597,76975,3804
2015,gold,180774,10166,28424,12408,2233,99959,3843
2016,gold,198559,11988,29827,16377,1946,113557,3584
2017,gold,236477,13294,35497,15746,1292,138331,3451
2018,gold,277400,16685,27097,15597,603,151035,2732
2012,hybrid,56095,3068,4384,1789,1408,16283,1884
2013,hybrid,62098,3694,7015,3663,1646,21701,1979
2014,hybrid,69854,5191,8051,5616,2033,32594,2296
2015,hybrid,85029,5685,13067,7436,2045,45134,2305
2016,hybrid,100630,6539,14620,9487,1668,54080,2199
2017,hybrid,99459,6555,15866,8481,1154,53489,1590
2018,hybrid,99732,6829,12867,7247,576,54520,1213
2012,bronze,130823,7409,11667,5213,4207,43401,5000
2013,bronze,129376,8368,16083,8690,3973,51714,4631
2014,bronze,123256,9261,13977,10292,3201,60586,4235
2015,bronze,119306,9132,21331,11890,2566,68439,3560
2016,bronze,112262,11402,21189,14722,1879,64698,2999
2017,bronze,110355,10866,21457,12793,1006,61637,2546
2018,bronze,67858,4779,8356,5371,384,29750,854
2012,green,315429,20096,32533,13111,9423,118743,11937
2013,green,356405,24738,49538,23147,10180,157149,12054
2014,green,391166,27522,44590,29497,9472,213866,11710
2015,green,420511,29164,71146,37045,8166,261370,10945
2016,green,452251,36968,74958,46995,6657,288041,9785
2017,green,434591,35522,75087,39832,3863,278630,7981
2018,green,263647,26180,35923,19773,1320,175115,3797

