year,closed,oa,gold,hybrid,bronze,green,journal_green,only_green
2010,2464357,985308,159388,116391,324492,385037,179246,205791
2011,2544826,1127298,191945,154935,346223,434195,218648,215547
2012,2453276,1308410,249665,185834,379041,493870,266941,226929
2013,2634643,1473262,307051,205200,407243,553768,306126,247642
2014,2685098,1639584,372627,243958,411947,611052,357485,253567
2015,2730112,1849622,432814,316394,439448,660966,398050,262916
2016,2781723,2082962,495029,370157,509866,707910,423831,284079
2017,3064150,2238552,574241,413834,551747,698730,436369,262361
2018,3121281,2028778,619586,456874,541152,411166,240910,170256
2019,882736,473378,164343,117665,134200,57170,27974,29196

