year;pmc_corrected;closed;gold;hybrid;bronze;green
2010;true;2464357;159388;116391;324492;296295
2011;true;2544826;191945;154935;346223;321612
2012;true;2453276;249665;185834;379041;347470
2013;true;2634643;307051;205200;407243;374424
2014;true;2685098;372627;243958;411947;397293
2015;true;2730112;432814;316394;439448;421570
2016;true;2781723;495029;370157;509866;458809
2017;true;3064150;574241;413834;551747;508009
2018;true;3121281;619586;456874;541152;411086
2019;true;882736;164343;117665;134200;57170
2010;false;2464357;159388;116391;324492;385037
2011;false;2544826;191945;154935;346223;434195
2012;false;2453276;249665;185834;379041;493870
2013;false;2634643;307051;205200;407243;553768
2014;false;2685098;372627;243958;411947;611052
2015;false;2730112;432814;316394;439448;660966
2016;false;2781723;495029;370157;509866;707910
2017;false;3064150;574241;413834;551747;698730
2018;false;3121281;619586;456874;541152;411166
2019;false;882736;164343;117665;134200;57170
