country,n_items
US,1953960
CN,1713612
DE,460105
GB,457441
JP,422625
IN,342868
KR,312832
IT,306931
FR,296627
CA,287087
ES,262295
AU,257649
BR,238085
IR,176087
RU,169277
NL,161169
TW,141840
TR,140085
PL,122264
CH,102192
SE,101219
BE,80607
DK,67416
IL,61940
PT,61405
MX,61097
AT,53463
SG,51885
FI,51105
NO,49903
ZA,49791
MY,49194
CZ,47605
GR,45637
AR,41592
EG,41223
NZ,36491
SA,34475
TH,33618
PK,33086
IE,32199
CL,29378
HU,26759
RS,24276
RO,22007
TN,19988
UA,18789
DZ,15012
CO,14934
SI,14611
HR,13539
SK,12672
VN,10853
NG,10823
LT,9125
MA,8489
AE,6740
BG,6485
BD,6336
EE,6266
JO,6052
ID,6042
LB,5052
ET,4864
KE,4163
IQ,4062
QA,3762
CY,3709
BY,3523
UY,3519
GH,3150
PH,3120
CM,3088
IS,2952
KW,2949
LU,2938
AM,2910
LK,2770
KZ,2726
CU,2576
UG,2572
LV,2550
VE,2504
PE,2341
EC,2280
TZ,2207
OM,2089
AZ,1735
NP,1670
CR,1423
GE,1345
BA,1282
MK,1257
ZW,1199
UZ,1144
SN,1142
MT,1022
SD,1011
SY,945
MW,887
BF,855
BJ,814
ME,778
CI,767
PA,754
BW,742
JM,692
TT,675
MD,665
ZM,656
LY,525
CD,520
MZ,513
YE,504
PS,460
BH,459
KH,450
MU,448
RW,446
MG,417
NC,405
BN,405
AL,388
BO,378
MN,370
GP,359
FJ,348
MM,298
GA,289
ML,287
LA,280
NA,273
GF,257
GD,252
GT,244
GM,235
BB,224
MC,219
KG,219
NE,216
KP,215
PY,206
PG,206
PF,200
TG,190
CG,172
TJ,171
LI,151
KN,134
BT,127
GL,126
DO,119
AF,117
NI,111
AO,108
RE,104
GN,94
SL,93
HT,88
SZ,86
HN,85
LS,80
SR,74
SV,71
BS,71
GW,70
CF,63
MR,58
BI,58
BM,51
ER,47
GY,46
VU,42
SC,42
TD,40
LR,34
MV,33
SM,33
TM,32
SB,30
DM,29
DJ,28
CV,28
AN,27
BZ,22
AD,21
PW,19
SO,19
VA,18
TL,17
WS,16
FK,16
SS,12
GI,11
FM,10
CW,8
LC,8
AI,8
AG,7
TO,7
VC,7
KM,7
KY,6
AW,4
GQ,4
ST,4
MH,4
CK,3
SX,3
TC,3
KI,1
NR,1
MQ,1
BQ,1
MS,1

